long;str;str
57095;Entangling Roots;"Entangles an enemy in roots; inflicting Nature damage every $t2 sec. and immobilizing it for up to $d."
57096;Refreshment;Restores $45548o1 health and ${$57073m2/5*30} mana over $45548d.  If you spend at least 10 seconds eating you will become well fed and gain $57097s1 Spell Power and $57097s2 Stamina for $57097d.
57097;Well Fed;Spell Power increased by $s1 and Stamina increased by $s2. Lasts $d.
57098;Refreshment;Restores $45548o1 health and ${$57073m2/5*30} mana over $45548d.  If you spend at least 10 seconds eating you will become well fed and gain $57100s1 Critical Strike Rating and $57100s2 Stamina for $57100d.
57099;Landmine Knockback Achievement Aura;
57100;Well Fed;Critical Strike Rating increased by $s1 and Stamina increased by $s2. Lasts $d.
57101;Refreshment;Restores $45548o1 health and ${$57073m2/5*30} mana over $45548d.  If you spend at least 10 seconds eating you will become well fed and gain $57102s1 Haste Rating and $57102s2 Stamina for $57102d.
57102;Well Fed;Haste Rating increased by $s1 and Stamina increased by $s2. Lasts $d.
57106;Refreshment;Restores $45548o1 health and ${$57073m2/5*30} mana over $45548d.  If you spend at least 10 seconds eating you will become well fed and gain $57107s1 Mana per 5 seconds and $57107s2 Stamina for $57107d.
57107;Well Fed;Mana Regeneration increased by $s1 every 5 seconds and Stamina increased by $s2. Lasts $d.
57108;Flame Shield;"Surrounds the caster in a shield of flames; reducing all damage taken by $s1%. Lasts longer per combo point:

   1 point  : 2 seconds

   2 points: 3 seconds

   3 points: 4 seconds

   4 points: 5 seconds

   5 points: 6 seconds"
57109;Glyph of Adrenaline Rush;Increases the duration of Adrenaline Rush by ${$56808m1/1000} sec.
57110;Refreshment;Restores $45548o1 health over $45548d.  If you spend at least 10 seconds eating you will become well fed and gain $57111s1 Attack Power and $57111s2 Stamina for $57111d.
57111;Well Fed;Attack Power increased by $s1 and Stamina increased by $s2. Lasts $d.
57112;Glyph of Adrenaline Rush;
57113;Glyph of Ambush;
57114;Glyph of Backstab;
57115;Glyph of Blade Flurry;
57116;Glyph of Crippling Poison;
57117;Glyph of Deadly Throw;
57118;Wicked Coil;
57119;Glyph of Evasion;
57120;Glyph of Eviscerate;
57121;Glyph of Expose Armor;
57122;Glyph of Feint;
57123;Glyph of Garrote;
57124;Glyph of Ghostly Strike;
57125;Glyph of Gouge;
57126;Glyph of Hemorrhage;
57127;Glyph of Preparation;
57128;Glyph of Rupture;
57129;Glyph of Sap;
57130;Glyph of Vigor;
57131;Glyph of Sinister Strike;
57132;Glyph of Slice and Dice;
57133;Glyph of Sprint;
57134;Unused;
57135;Unused;
57136;Unused;
57137;Unused;
57138;Refreshment;Restores $45548o1 health over $45548d.  If you spend at least 10 seconds eating you will become well fed and gain $57139s1 Spell Power and $57139s2 Stamina for $57139d.
57139;Well Fed;Spell Power increased by $s1 and Stamina increased by $s2. Lasts $d.
57140;Glyph of Ambush;Increases the range on Ambush by $56813s1 yards.
57141;Glyph of Backstab;"Your Backstab increases the duration of your Rupture effect on the target by $56800s1 sec; up to a maximum of $56800s2 additional sec."
57142;Glyph of Blade Flurry;Reduces the energy cost of Blade Flurry by $56818s1%.
57143;Life Burst;"Releases a burst of rejuvinating energy; healing friendly targets within $a2 yards and increasing the caster's healing done by $s3%. Heals for more and lasts longer per combo point:

   1 point :   5;000 heal / 5 sec

   2 points:   7;500 heal / 10 sec

   3 points: 10;000 heal / 15 sec

   4 points: 12;500 heal / 20 sec

   5 points: 15;000 heal / 25 sec"
57144;Glyph of Crippling Poison;Increases the chance to inflict your target with Crippling Poison by an additional $56820s1%.
57145;Glyph of Deadly Throw;Increases the slowing effect on Deadly Throw by $56806s1%.
57146;Glyph of Evasion;Increases the duration of Evasion by ${$56799m1/1000} sec.
57147;Glyph of Eviscerate;Increases the critical strike chance of Eviscerate by $56802s1%.
57148;Glyph of Expose Armor;Increases the duration of Expose Armor by ${$56803m1/1000} sec.
57149;Glyph of Feint;Reduces the energy cost of Feint by $56804s1.
57150;Glyph of Garrote;Reduces the duration of your Garrote ability by ${$56812m1/-1000} sec and increases the total damage it deals by 20%.
57151;Glyph of Barbaric Insults;
57152;Glyph of Blocking;
57153;Glyph of Bloodthirst;
57154;Glyph of Cleaving;Increases the number of targets your Cleave hits by 1.
57155;Glyph of Devastate;
57156;Glyph of Execution;
57157;Glyph of Hamstring;
57158;Glyph of Heroic Strike;
57159;Glyph of Intervene;
57160;Glyph of Mortal Strike;
57161;Glyph of Overpower;
57162;Glyph of Rapid Charge;
57163;Glyph of Rending;
57164;Glyph of Resonating Power;
57165;Glyph of Revenge;
57166;Glyph of Last Stand;
57167;Glyph of Sunder Armor;
57168;Glyph of Sweeping Strikes;
57169;Glyph of Taunt;
57170;Glyph of Victory Rush;
57172;Glyph of Whirlwind;
57173;Warrior Glyph 21;
57174;Warrior Glyph 22;
57175;Warrior Glyph 23;
57176;Warrior Glyph 25;
57177;Unused;
57178;Unused;
57179;Unused;
57180;Warrior Glyph 24;
57181;Glyph of Circle of Healing;
57183;Glyph of Dispel Magic;
57184;Glyph of Fade;
57185;Glyph of Fear Ward;
57186;Glyph of Flash Heal;
57187;Glyph of Holy Nova;
57188;Glyph of Inner Fire;
57189;Glyph of Lightwell;
57190;Glyph of Mass Dispel;
57191;Glyph of Mind Control;
57192;Glyph of Shadow Word: Pain;
57193;Glyph of Shadow;
57194;Glyph of Power Word: Shield;
57195;Glyph of Prayer of Healing;
57196;Glyph of Psychic Scream;
57197;Glyph of Renew;
57198;Glyph of Scourge Imprisonment;
57199;Glyph of Shadow Word: Death;
57200;Glyph of Mind Flay;
57201;Glyph of Smite;
57202;Glyph of Spirit of Redemption;
57203;Unused;
57204;Unused;
57205;Unused;
57206;Unused;
57207;Glyph of Anti-Magic Shell;
57208;Glyph of Heart Strike;
57209;Glyph of Blood Tap;
57210;Glyph of Bone Shield;
57211;Glyph of Chains of Ice;
57212;Glyph of Dark Command;
57213;Glyph of Death Grip;
57214;Glyph of Death and Decay;
57215;Glyph of Death's Embrace;
57216;Glyph of Frost Strike;
57217;Glyph of Horn of Winter;
57218;Glyph of Icebound Fortitude;
57219;Glyph of Icy Touch;
57220;Glyph of Obliterate;
57221;Glyph of Plague Strike;
57222;Glyph of the Ghoul;
57223;Glyph of Rune Strike;
57224;Glyph of Scourge Strike;
57225;Glyph of Strangulate;
57226;Glyph of Unbreakable Armor;
57227;Glyph of Vampiric Blood;
57228;Glyph of Raise Dead;
57229;Glyph of Corpse Explosion;
57230;Glyph of Pestilence;
57231;Death Knight Glyph 25;
57232;Glyph of Chain Heal;
57233;Glyph of Chain Lightning;
57234;Glyph of Lava;
57235;Glyph of Shocking;
57236;Glyph of Earthliving Weapon;
57237;Glyph of Fire Elemental Totem;
57238;Glyph of Fire Nova;
57239;Glyph of Flame Shock;
57240;Glyph of Flametongue Weapon;
57241;Glyph of Frost Shock;
57242;Glyph of Healing Stream Totem;
57243;Glyph of Healing Wave;
57244;Glyph of Lesser Healing Wave;
57245;Glyph of Lightning Bolt;
57246;Glyph of Lightning Shield;
57247;Glyph of Mana Tide Totem;
57248;Glyph of Stormstrike;
57249;Glyph of Lava Lash;
57250;Glyph of Elemental Mastery;
57251;Glyph of Water Mastery;
57252;Glyph of Windfury Weapon;
57253;Glyph of Thunderstorm;
57254;Unused;
57255;Unused;
57256;Unused;
57257;Glyph of Incinerate;
57258;Glyph of Conflagrate;
57259;Glyph of Corruption;
57260;Glyph of Curse of Agony;
57261;Glyph of Death Coil;
57262;Glyph of Fear;
57263;Glyph of Felguard;
57264;Glyph of Felhunter;
57265;Glyph of Health Funnel;
57266;Glyph of Healthstone;
57267;Glyph of Howl of Terror;
57268;Glyph of Immolate;
57269;Glyph of Imp;
57270;Glyph of Searing Pain;
57271;Glyph of Shadow Bolt;
57272;Glyph of Shadowburn;
57273;Glyph of Siphon Life;
57274;Glyph of Soulstone;
57275;Glyph of Succubus;
57276;Glyph of Unstable Affliction;
57277;Glyph of Voidwalker;
57278;Unused;
57279;Unused;
57280;Unused;
57281;Unused;
57283;Remove Mushroom Power;
57285;Refreshment;Restores $45548o1 health over $45548d.  If you spend at least 10 seconds eating you will become well fed and gain $57286s1 Critical Strike Rating and $57286s2 Stamina for $57286d.
57286;Well Fed;Critical Rating increased by $s1 and Stamina increased by $s2. Lasts $d.
57287;Refreshment;Restores $45548o1 health over $45548d.  If you spend at least 10 seconds eating you will become well fed and gain $57288s1 Haste Rating and $57288s2 Stamina for $57288d.
57288;Well Fed;Haste Rating increased by $s1 and Stamina increased by $s2. Lasts $d.
57289;Refreshment;Restores $45548o1 health over $45548d.  If you spend at least 10 seconds eating you will become well fed and gain $57291s1 Mana per 5 seconds and $57291s2 Stamina for $57291d.
57290;Shattered Eyes;The Iron Watcher is blinded.
57291;Well Fed;Mana Regeneration increased by $s1 every 5 seconds and Stamina increased by $s2. Lasts $d.
57292;Refreshment;Restores $45548o1 health and ${$57073m2/5*30} mana over $45548d.  If you spend at least 10 seconds eating you will become well fed and gain $57079s1 Attack Power and $57079s2 Stamina for $57079d.
57293;Glyph of Ghostly Strike;"Increases the damage dealt by Ghostly Strike by $56814s2% and the duration of its effect by ${$56814m1/1000} sec.; but increases its cooldown by ${$56814m3/1000} sec."
57294;Well Fed;"Attack Power increased by $s1; Spell Power increased by $s3 and Stamina increased by $s2. Lasts $d."
57295;Glyph of Gouge;Reduces the energy cost of Gouge by $56809s1.
57296;Glyph of Hemorrhage;Increases the damage bonus against targets afflicted by Hemorrhage by $56807s1%.
57297;Glyph of Preparation;"Your Preparation ability also instantly resets the cooldown of Blade Flurry; Dismantle; and Kick."
57298;Glyph of Rupture;Increases the duration of Rupture by ${$56801m1/1000} sec.
57299;Glyph of Sap;Increases the duration of Sap by ${$56798m1/1000} sec.
57300;Glyph of Vigor;Vigor grants an additional $56805s1 maximum energy.
57301;Great Feast;"Set out a great feast that will feed your party!   Restores $45548o1 health and ${$57073m2/5*30} mana over $45548d.  If you spend at least 10 seconds eating you will become well fed and gain $57294s1 Attack Power; $57294s3 Spell Power and $57294s2 Stamina for $57294d."
57302;Glyph of Sinister Strike;Your Sinister Strike critical strikes have a $56821h% chance to add an additional combo point.
57303;Glyph of Slice and Dice;Increases the duration of Slice and Dice by ${$56810m1/1000} sec.
57304;Glyph of Sprint;Increases the movement speed of your Sprint ability by an additional $56811s1%.
57305;Point;
57310;Lords Deck;Combine the Ace through Eight of Lords to complete the set.
57311;Lords Deck;Combine the Ace through Eight of Lords to complete the set.
57312;Lords Deck;Combine the Ace through Eight of Lords to complete the set.
57313;Lords Deck;Combine the Ace through Eight of Lords to complete the set.
57314;Lords Deck;Combine the Ace through Eight of Lords to complete the set.
57315;Lords Deck;Combine the Ace through Eight of Lords to complete the set.
57316;Lords Deck;Combine the Ace through Eight of Lords to complete the set.
57317;Lords Deck;Combine the Ace through Eight of Lords to complete the set.
57318;Sanctified Wrath;You ignore part of all damage reduction effects on your targets.
57319;Blessing of Sanctuary;Gain $s1% of maximum mana.
57320;Blessing of Sanctuary;Gain $s1 rage.
57321;Blessing of Sanctuary;Gain $s1 runic power.
57322;Lightning Nova;
57323;Trigger Test;
57324;Refreshment;Restores $45548o1 health over $45548d.  If you spend at least 10 seconds eating you will become well fed and gain $57325s1 Attack Power and $57325s2 Stamina for $57325d.
57325;Well Fed;Attack Power increased by $s1 and Stamina increased by $s2. Lasts $d.
57326;Refreshment;Restores $45548o1 health over $45548d.  If you spend at least 10 seconds eating you will become well fed and gain $57327s1 Spell Power and $57327s2 Stamina for $57327d.
57327;Well Fed;Spell Power increased by $s1 and Stamina increased by $s2. Lasts $d.
57328;Refreshment;Restores $45548o1 health over $45548d.  If you spend at least 10 seconds eating you will become well fed and gain $57329s1 Critical Strike Rating and $57329s2 Stamina for $57329d.
57329;Well Fed;Critical Strike Rating increased by $s1 and Stamina increased by $s2. Lasts $d.
57330;Horn of Winter;"The Death Knight blows the Horn of Winter; which generates 10 runic power and increases total Strength and Agility of all party or raid members within $a1 yards by $s1.  Lasts $d."
57331;Refreshment;Restores $45548o1 health over $45548d.  If you spend at least 10 seconds eating you will become well fed and gain $57332s1 Haste Rating and $57332s2 Stamina for $57332d.
57332;Well Fed;Haste Rating increased by $s1 and Stamina increased by $s2. Lasts $d.
57333;Refreshment;Restores $45548o1 health over $45548d.  If you spend at least 10 seconds eating you will become well fed and gain $57334s1 Mana per 5 seconds and $57334s2 Stamina for $57334d.
57334;Well Fed;Mana Regeneration increased by $s1 every 5 seconds and Stamina increased by $s2. Lasts $d.
57335;Refreshment;Restores $45548o1 health and ${$57073m2/5*30} mana over $45548d.  If you spend at least 10 seconds eating you will become well fed and gain $57325s1 Attack Power and $57325s2 Stamina for $57325d.
57337;Great Feast;"Restores $45548o1 health and ${$57073m1/5*30} mana over $45548d.  If you spend at least 10 seconds eating you will become well fed and gain $57338s1 Attack Power; $57338s3 Spell Power and $57338s2 Stamina for $57338d."
57338;Refreshment;
57339;Tank Class Passive Threat;Increases threat generated by $s1%.
57340;Tank Class Passive Threat;Increases threat generated by $s1%.
57341;Refreshment;Restores $45548o1 health and ${$57073m2/5*30} mana over $45548d.  If you spend at least 10 seconds eating you will become well fed and gain $57327s1 Spell Power and $57327s2 Stamina for $57327d.
57343;Refreshment;Restores $45548o1 health and ${$57073m2/5*30} mana over $45548d.  If you spend at least 10 seconds eating you will become well fed and gain $57329s1 Critical Strike Rating and $57329s2 Stamina for $57329d.
57344;Refreshment;Restores $45548o1 health and ${$57073m2/5*30} mana over $45548d.  If you spend at least 10 seconds eating you will become well fed and gain $57332s1 Haste Rating and $57332s2 Stamina for $57332d.
57345;Darkmoon Card: Greatness;"When you heal or deal damage you have a chance to gain Greatness; increasing your Strength; Agility; Intellect; or Spirit by $60229s1 for $60229d.  Your highest stat is always chosen."
57346;Ride Vehicle;
57347;Retrieving;Retreiving the RP-GG.
57348;Carrying an RP-GG;Rocket-Propelled Goblin Grenade launchers will be dropped on death.
57349;Drop RP-GG;Drops your rocket launcher.
57350;Illusionary Barrier;"Absorbs $s1 damage for $d.  When the shield is removed by any means; you regain $60242s1 mana."
57351;Berserker!;"You have a chance to gain Berserker when you deal or take damage in combat; increasing your critical strike rating by $s1 for 12 sec.  Effect stacks up to 3 times."
57352;Darkmoon Card: Death;"Each time you deal damage; you have a chance to do an additional $60203s1 Shadow damage."
57353;Heirloom Experience Bonus +10%;Experience gained from killing monsters and completing quests increased by $s1%.
57354;Refreshment;Restores $45548o1 health and ${$57073m2/5*30} mana over $45548d.  If you spend at least 10 seconds eating you will become well fed and gain $57334s1 Mana per 5 seconds and $57334s2 Stamina for $57334d.
57355;Refreshment;Restores $45548o1 health over $45548d.  If you spend at least 10 seconds eating you will become well fed and gain $57356s1 Expertise Rating and $57356s2 Stamina for $57356d.
57356;Well Fed;Expertise Rating increased by $s1 and Stamina increased by $s2. Lasts $d.
57357;Refreshment;Restores $45548o1 health over $45548d.  If you spend at least 10 seconds eating you will become well fed and gain $57358s1 armor penetration rating and $57358s2 Stamina for $57358d.
57358;Well Fed;Armor penetration rating increased by $s1 and Stamina increased by $s2. Lasts $d.
57359;Refreshment;Restores $45548o1 health and ${$57073m2/5*30} mana over $45548d.  If you spend at least 10 seconds eating you will become well fed and gain $57360s1 Hit Rating and $57360s2 Stamina for $57360d.
57360;Well Fed;Hit Rating increased by $s1 and Stamina increased by $s2. Lasts $d.
57361;Arcanite Ripper;
57362;Refreshment;Restores $45548o1 health over $45548d.  If you spend at least 10 seconds eating you will become well fed and can track humanoids for $57363d.
57363;Well Fed;Tracking Humanoids. Lasts $d.
57364;Refreshment;Restores $45548o1 health and ${$57073m2/5*30} mana over $45548d.  If you spend at least 10 seconds eating you will become well fed and gain $57365s1 Spirit and $57365s2 Stamina for $57365d.
57365;Well Fed;Spirit increased by $s1 and Stamina increased by $s2. Lasts $d.
57366;Refreshment;Restores $45548o1 health and ${$57073m2/5*30} mana over $45548d.  If you spend at least 10 seconds eating you will become well fed and gain $57367s1 Agility and $57367s2 Stamina for $57367d.
57367;Well Fed;Agility increased by $s1 and Stamina increased by $s2. Lasts $d.
57369;Unholy Shadow;"Shadowy energy lashes out; inflicting $s1 Shadow damage and a further $s2 damage every $t2 sec. for $d."
57370;Refreshment;Restores $45548o1 health and ${$57073m2/5*30} mana over $45548d.  If you spend at least 10 seconds eating you will become well fed and gain $57371s1 Strength and $57371s2 Stamina for $57371d.
57371;Well Fed;Strength increased by $s1 and Stamina increased by $s2. Lasts $d.
57372;Refreshment;Restores $45548o1 health over $45548d.  If you spend at least 10 seconds eating you will become well fed and can track beasts for $57373d.
57373;Well Fed;Tracking Beasts. Lasts $d.
57374;Shadow Bolt;"Hurls a bolt of dark magic at an enemy; inflicting Shadow damage."
57375;Land Mines;"Summons 3 Land mines. The mines will explode; dealing $s1 Fire damage if anyone approaches them too closely. Deals bonus damage to mechanical units."
57376;Holy Bolt;"Hurls a bolt of light magic at an enemy; inflicting Holy damage."
57377;Condemnation;"Light magic lashes out at every enemy; inflicting $s1 Holy damage."
57378;Carrying ILMs;Inflatable Land Mines will be dropped on death.
57379;Drop ILMs;Drops your inflatable land mins.
57380;Retrieving;Retrieving the ILMs.
57381;Unyielding Pain;"Dark magic lashes out at every enemy; inflicting $s1 Shadow damage."
57382;Argent Cannon;A low fuel cost makes this mid to long range gun an absolute necessity in the field. Aim low and let it rip!
57383;Argent Cannon Assault;KABOOM! $s1 damage to all enemies within a 12 yard radius of impact.
57384;55 Yard Bubble;
57385;Argent Cannon;Fire into enemy Scourge and watch them burn.
57386;Stampede;"Your rhino slams into a nearby enemy for $s1 damage; causing it to take $s3% additional damage from bleed effects for $d."
57387;Argent Cannon Assault;Shoots a volley of rockets at the target and anyone within range of the target.
57388;Critter Bite;Throw a critter bite at a critter to control it.   Critters are small ambient creatures like rats and turkeys.
57389;Stampede;"Your rhino slams into a nearby enemy for $s1 damage; causing it to take $s3% additional damage from bleed effects for $d."
57390;Stampede;"Your rhino slams into a nearby enemy for $s1 damage; causing it to take $s3% additional damage from bleed effects for $d."
57391;Stampede;"Your rhino slams into a nearby enemy for $s1 damage; causing it to take $s3% additional damage from bleed effects for $d."
57392;Stampede;"Your rhino slams into a nearby enemy for $s1 damage; causing it to take $s3% additional damage from bleed effects for $d."
57393;Stampede;"Your rhino slams into a nearby enemy for $s1 damage; causing it to take $s3% additional damage from bleed effects for $d."
57394;Copy of Sapphire Owl;Restores $o1 mana over $d.
57395;Desperate Blow;Uses the casters last bit of energy and inflicts $s1% weapon damage and stuns the caster for $d.
57397;Fish Feast;Restores $45548o1 health and ${$57073m1/5*30} mana over $45548d.  If you spend at least 10 seconds eating you will become well fed and gain $57079s1 Attack Power and $57079s2 Stamina for $57079d.
57398;Refreshment;
57399;Well Fed;"Attack Power increased by $s1; Spell Power increased by $s3 and Stamina increased by $s2. Lasts $d."
57400;Transparent;
57401;Njorndar Proto-Drake;Mount the Njorndar Proto-Drake.
57402;Jotunheim Proto-Drake;Riding a Jotunheim Proto-Drake.
57403;Flight;
57404;Out of Jotunheim!;
57405;Flush;Knocks all units back.
57407;Surge of Power;"Fires a beam of pure magic at an enemy; dealing $s1 Arcane damage every half second for $d."
57408;Storm Cloud;Summons a Storm Cloud around the caster inflicts $57411s1 Nature damage when attacked.
57409;Last Line Fail;
57410;Last Line Success;
57411;Storm Cloud;Inflicts $s1 Nature damage.
57412;Reckoning Bomb;"Unleashes the Reckoning upon the Scourge; inflicting ridiculous amounts of damage. Some might even say the damage is ludicrous."
57413;Fitful Dream;Immersed in the Emerald Nightmare.
57414;Reckoning Bomb;Shoots a volley of rockets at the target and anyone within range of the target.
57415;The Reckoning;Judgement day has come for the Scourge.
57416;Immune to Daze;
57417;To Icecrown Airship - Teleport to Airship (H);
57418;To Icecrown Airship (H) - Summon Vehicle;
57419;To Icecrown - Player (H) - Aura - Dismount;
57420;Icecrown - Player - Aura (H) - Dismount Trigger;
57421;Northern Stew;
57422;To Icecrown - Airship (H) - Aura - Approach Trigger;
57423;Fish Feast;
57424;To Icecrown - Airship (H) - Aura - Approach;
57425;Transmute: Skyflare Diamond;Transmute the element of air and gems into a Skyflare Diamond.
57426;Fish Feast;"Set out a great feast that will feed your party!   Restores $45548o1 health and ${$57073m2/5*30} mana over $45548d.  If you spend at least 10 seconds eating you will become well fed and gain $57399s1 Attack Power; $57399s3 Spell Power and $57399s2 Stamina for $57399d."
57427;Transmute: Earthsiege Diamond;Transmute the element of fire and gems into a Earthsiege Diamond.
57428;Static Field;Summons a field of crackling energy at a random target's location. This field deals $57429s1 Arcane damage per second to all enemies within $57429a1 yards of that location.
57429;Static Field;Summons a field of crackling energy at a random target's location. This field deals $s1 Arcane damage per second to all enemies within $a1 yards of that location.
57430;Static Field;Summons a field of crackling energy at a random target's location. This field deals $57429s1 Arcane damage per second to all enemies within $57429a1 yards of that location.
57431;Summon Static Field;Summons a field of crackling energy at a random target's location. This field deals $57429s1 Arcane damage per second to all enemies within $57429a1 yards of that location.
57432;Arcane Pulse;"Lashes out with an instant pulse of arcane energy; inflicting $s1 Arcane damage to enemies within $a1 yards."
57433;Spicy Fried Herring;
57434;Rhinolicious Wormsteak;
57435;Critter Bites;
57436;Hearty Rhino;
57437;Snapper Extreme;
57438;Blackened Worg Steak;
57439;Cuttlesteak;
57440;Spiced Mammoth Treats;
57441;Blackened Dragonfin;
57442;Dragonfin Filet;
57443;Tracker Snacks;
57444;Summon Main Mammoth Meat;
57446;Cosmetic - Spike State;
57447;Kindred Spirits;Increases your pet's damage by $56314s1% and you and your pet's movement speed by $56314s2% while your pet is active. This does not stack with other movement speed increasing effects.
57452;Kindred Spirits;Increases your pet's damage by $56315s1% and you and your pet's movement speed by $56315s2% while your pet is active. This does not stack with other movement speed increasing effects.
57453;Kindred Spirits;Increases your pet's damage by $56316s1% and you and your pet's movement speed by $56316s2% while your pet is active. This does not stack with other movement speed increasing effects.
57454;Ice Spike;A spike of ice inflicts $s1 Frost damage and knocks the enemy in the air.
57455;Frostbite;Attacks have a chance to inflict $57456s1 Frost damage every $57456t1 sec and slow movement speed by $57456s2% for $57456d.  Stacks up to 10 times.
57456;Frostbite;"Inflicts $s1 Frost damage every $t1 sec. for $d.

Reduces movement speed by $s2% for $d."
57457;Kindred Spirits;Increases your pet's damage by $56317s1% and you and your pet's movement speed by $56317s2% while your pet is active. This does not stack with other movement speed increasing effects.
57458;Kindred Spirits;Increases your pet's damage by $56318s1% and you and your pet's movement speed by $56318s2% while your pet is active. This does not stack with other movement speed increasing effects.
57459;Arcane Storm;"Fires a salvo of magic missiles into the air. These missiles select a random nearby enemy target and slam into them; dealing $s1 Arcane damage."
57460;To Icecrown Airship - Player - Aura - Teleport to Dalaran;
57461;To Icecrown Airship - Player - Aura - Teleport to Dalaran Trigger;Teleport to Dalaran.
57462;Sapper Charge Periodic;
57463;Void Zone;Summon a Void Zone that deals Shadow damage to enemies that stand within it.
57464;Shadow Bolt;"Hurls a bolt of dark magic at an enemy; inflicting Shadow damage."
57465;Holy Bolt;"Hurls a bolt of light magic at an enemy; inflicting Holy damage."
57466;Holy Wrath;"Sends bolts of holy power in all directions; causing $s1 Holy damage to the target and other nearby enemy targets; increasing by 50% between each jump."
57467;Meteor;"Deals $s1 Fire damage; split between all enemies within $a1 yards of the impact crater."
57468;Romp;"Romps over an enemy; inflicting $s2% of normal damage."
57469;Vile Like Fire!: Spread the Fire;
57470;Renewed Hope;"Increases the critical effect chance of your Flash Heal; Greater Heal and Penance (Heal) spells by $s1% on targets afflicted by the Weakened Soul effect; and you have a $h% chance to reduce all damage taken by $63944s1% for $63944d to all friendly party and raid targets when you cast Power Word: Shield. This effect has a $57470s3 sec cooldown."
57471;Sapper Charge Trigger;
57472;Renewed Hope;"Increases the critical effect chance of your Flash Heal; Greater Heal and Penance (Heal) spells by $s1% on targets afflicted by the Weakened Soul effect; and you have a $h% chance to reduce all damage taken by $63944s1% for $63944d to all friendly party and raid targets when you cast Power Word: Shield. This effect has a $57470s3 sec cooldown."
57473;Arcane Storm;
57474;To Icecrown - Frost Wyrm - Attack;
57475;Kindred Spirits;Increases your pet's damage by $56318s1% and you and your pet's movement speed by $56318s2% while your pet is active. This does not stack with other movement speed increasing effects.
57476;To Icecrown - Frost Wyrm - Summon;
57477;Freezing Breath;"Inflicts Frost damage to enemies in a cone in front of the caster; stealing their mana and reducing their movement speed for $d."
57478;To Icecrown - Frost Wyrm - Attack Aura;
57479;To Icecrown - Frost Wyrm - Attack Aura Trigger;
57480;Kinetic Beam;Inflicts $s1 Nature damage and pulls the target to the caster.
57481;Squall;"Charges an enemy; inflicting normal damage plus $s3."
57482;Kindred Spirits;Increases your pet's damage by $56317s1% and you and your pet's movement speed by $56317s2% while your pet is active. This does not stack with other movement speed increasing effects.
57483;Kindred Spirits;Increases your pet's damage by $56316s1% and you and your pet's movement speed by $56316s2% while your pet is active. This does not stack with other movement speed increasing effects.
57484;Kindred Spirits;Increases your pet's damage by $56315s1% and you and your pet's movement speed by $56315s2% while your pet is active. This does not stack with other movement speed increasing effects.
57485;Kindred Spirits;Increases your pet's damage by $56314s1% and you and your pet's movement speed by $56314s2% while your pet is active. This does not stack with other movement speed increasing effects.
57486;Squall;
57487;Squall;fdsa
57488;Squall;"Charges an enemy; inflicting normal damage plus $s2."
57489;The Naked Bomb;Inflicts $53261s1 Fire damage and incapacitates targets for $53261d in a 3 yard radius.  Any damage will break the effect.  Unreliable against targets higher than level 90.
57490;Librarian's Shush;"Silences and disarms an enemy; preventing it from casting spells or attacking for $d."
57491;Flame Tsunami;"Inflicts Fire damage to nearby enemies and drenches them with lava; slowing them and dealing an additional Fire damage over $d."
57492;Flame Tsunami Damage Aura;"Inflicts Fire damage to nearby enemies and drenches them with lava; dealing an additional Fire damage over time."
57493;Burst of Speed;Increase flight speed by $s1% for $d.
57494;Flame Tsunami Visual;
57495;Deafening Roar;
57496;Insanity;Causes nearby enemies to become insane.
57498;To Icecrown Airship - Frost Wyrm - Waiting to Summon - Aura;
57499;Warbringer;"Your Charge; Intercept and Intervene abilities are now usable while in combat and in any stance.  In addition; your Intervene ability will remove all movement impairing effects."
57500;Summon Twisted Visage (Phase 1);
57501;Summon Twisted Visage (Phase 2);
57502;Summon Twisted Visage (Phase 3);
57503;Summon Twisted Visage (Phase 4);
57504;Summon Twisted Visage (Phase 5);
57506;Summon Twisted Visage Spawn;
57507;Summon Twisted Visage Spawn Effect;
57508;Insanity;
57509;Insanity;
57510;Insanity;
57511;Insanity;
57512;Insanity;
57514;Enrage;Increases Physical damage by $s1%.
57515;Waking from a Fitful Dream;Waking from a fitful dream.
57516;Enrage;Increases Physical damage by $s1%.
57517;Waking from a Fitful Dream;Waking from a fitful dream.
57518;Enrage;"Your melee critical hits have a chance to Enrage you; increasing all damage caused by $s1% for $d."
57519;Enrage;"Your melee critical hits have a chance to Enrage you; increasing all damage caused by $s1% for $d."
57520;Enrage;"Your melee critical hits have a chance to Enrage you; increasing all damage caused by $s1% for $d."
57521;Enrage;"Your melee critical hits have a chance to Enrage you; increasing all damage caused by $s1% for $d."
57522;Enrage;"Your melee critical hits have a chance to Enrage you; increasing all damage caused by $s1% for $d."
57523;Wretched Zombie Healer;Standing in a Wretched area heals zombies.
57524;Metanoia;Increases crit damage received and dealt by $s1% and increases the casters chance to critical strike by $s3% for $d.
57525;To Icecrown - Frost Wyrm - Retreat Aura;
57526;Lurch! Immunity Effect;Removes all movement impairing effects and all effects which cause loss of control of your character.
57527;To Icecrown - Frost Wyrm - Retreat Aura Trigger;
57528;Nightmare Figment Mirror Image;
57529;Arcane Potency;Increases the critical strike chance of any spell cast by $s1%.
57530;Nightmare Figment Mirror Image Forcecast;
57531;Arcane Potency;Increases the critical strike chance of any spell cast by $s1%.
